"dataname","Name","Competition","Round","Distance","InHandx","InHandy","OutHand1x","OutHand1y","OutHand2x","OutHand2y","OutHand3x","OutHand3y","Angle1","Angle2","Angle3","AngleAvg","HVel1","VVel1","HVel2","VVel2","HVel3","VVel3","HVelAvg","VVelAvg","RVel1","RVel2","RVel3","RVelAvg","RVelfromAvg","DUTurn1","DUTurn2","DUTurn3","DUTurn4","Turn1Single","Turn1Double","Turn2Single","Turn2Double","Turn3Single","Turn3Double","Turn4Single","Turn4Double","Turn1","Turn2","Turn3","Turn4","TotalTime","Turn1SinglePC","Turn1DoublePC","Turn2SinglePC","Turn2DoublePC","Turn3SinglePC","Turn3DoublePC","Turn4SinglePC","Turn4DoublePC","Turn1PC","Turn2PC","Turn3PC","Turn4PC"
"Sarah Ringrose_SydneyTrackClassic2019","Sarah Ringrose","SydneyTrackClassic2019",1,"61.86",653,407,690,435,727,464,763,493,37.12,38.09,38.85,38.02,19.45,14.57,19.45,15.09,18.92,15.09,19.27,14.92,24.39,24.71,24.29,24.46,24.46,0.26,0.18,NA,NA,0.38,0.4,0.3,0.28,0.3,0.3,NA,NA,0.78,0.58,0.6,NA,1.96,19,20,15,14,15,15,NA,NA,40,30,31,NA
"Sarah Ringrose_SydneyTrackClassic2019","Sarah Ringrose","SydneyTrackClassic2019",2,"X",587,326,624,355,662,384,699,412,38.09,37.35,37.12,37.52,19.45,15.09,19.98,15.09,19.45,14.57,19.63,14.92,24.71,25.13,24.39,24.74,24.75,0.22,0.22,NA,NA,0.38,0.36,0.3,0.32,0.26,0.28,NA,NA,0.74,0.62,0.54,NA,1.9,20,19,16,17,14,15,NA,NA,39,33,28,NA
"Sarah Ringrose_SydneyTrackClassic2019","Sarah Ringrose","SydneyTrackClassic2019",3,"64.01",666,424,698,449,731,474,764,499,38,37.15,37.15,37.43,16.82,13.01,17.35,13.01,17.35,13.01,17.17,13.01,21.34,21.77,21.77,21.63,21.62,0.22,0.23,NA,NA,0.36,0.36,0.33,0.31,0.28,0.34,NA,NA,0.72,0.64,0.62,NA,1.98,18,18,17,16,14,17,NA,NA,36,32,31,NA
"Sarah Ringrose_SydneyTrackClassic2019","Sarah Ringrose","SydneyTrackClassic2019",4,"63.7",NA,NA,609,387,648,418,682,447,NA,38.48,40.46,39.47,NA,NA,20.5,16.14,17.87,15.09,19.19,15.62,NA,26.19,23.49,24.84,24.86,0.28,0.22,NA,NA,0.4,0.4,0.28,0.3,0.26,0.32,NA,NA,0.8,0.58,0.58,NA,1.96,20,20,14,15,13,16,NA,NA,41,30,30,NA
"Sarah Ringrose_SydneyTrackClassic2019","Sarah Ringrose","SydneyTrackClassic2019",5,"58.63",613,418,647,447,679,476,712,504,40.46,42.18,40.31,40.98,17.87,15.09,16.82,15.09,17.35,14.57,17.35,14.92,23.49,22.7,22.75,22.98,22.98,0.24,0.2,NA,NA,0.36,0.38,0.3,0.26,0.3,0.33,NA,NA,0.74,0.56,0.63,NA,1.93,19,20,16,13,16,17,NA,NA,38,29,33,NA
"Sarah Ringrose_SydneyTrackClassic2019","Sarah Ringrose","SydneyTrackClassic2019",6,"64.02",621,395,660,425,696,453,732,482,37.57,37.87,38.85,38.1,20.5,15.62,18.92,14.57,18.92,15.09,19.45,15.09,25.86,23.97,24.29,24.71,24.72,0.26,0.18,NA,NA,0.36,0.4,0.3,0.3,0.28,0.31,NA,NA,0.76,0.6,0.59,NA,1.95,18,21,15,15,14,16,NA,NA,39,31,30,NA
