"dataname","Name","Competition","Round","Distance","InHandx","InHandy","OutHand1x","OutHand1y","OutHand2x","OutHand2y","OutHand3x","OutHand3y","Angle1","Angle2","Angle3","AngleAvg","HVel1","VVel1","HVel2","VVel2","HVel3","VVel3","HVelAvg","VVelAvg","RVel1","RVel2","RVel3","RVelAvg","RVelfromAvg","DUTurn1","DUTurn2","DUTurn3","DUTurn4","Turn1Single","Turn1Double","Turn2Single","Turn2Double","Turn3Single","Turn3Double","Turn4Single","Turn4Double","Turn1","Turn2","Turn3","Turn4","TotalTime","Turn1SinglePC","Turn1DoublePC","Turn2SinglePC","Turn2DoublePC","Turn3SinglePC","Turn3DoublePC","Turn4SinglePC","Turn4DoublePC","Turn1PC","Turn2PC","Turn3PC","Turn4PC"
"Ned Weatherly_OceaniaChampionships2019v2","Ned Weatherly","OceaniaChampionships2019v2",1,"67.85",799,539,877,605,953,670,1029,738,40.24,40.54,41.82,40.87,22.57,NA,21.99,NA,21.99,NA,22.18,NA,29.57,28.94,29.51,29.34,29.33,0.22,0.24,0.22,0.28,0.26,0.29,0.21,0.26,0.22,0.24,0.22,0.28,0.55,0.47,0.46,0.5,1.98,13,15,11,13,11,12,11,14,28,24,23,25
"Ned Weatherly_OceaniaChampionships2019v2","Ned Weatherly","OceaniaChampionships2019v2",2,"62.97",897,658,964,723,1032,791,1099,856,44.13,45,44.13,44.42,19.38,NA,19.67,NA,19.38,NA,19.48,NA,27,27.82,27,27.27,27.27,0.2,0.19,0.18,0.25,0.26,0.3,0.21,0.25,0.22,0.24,0.26,0.25,0.56,0.46,0.46,0.51,1.99,13,15,11,13,11,12,13,13,28,23,23,26
"Ned Weatherly_OceaniaChampionships2019v2","Ned Weatherly","OceaniaChampionships2019v2",3,"63.32",883,606,952,670,1018,733,1082,793,42.85,43.67,43.15,43.22,19.96,NA,19.09,NA,18.51,NA,19.19,NA,27.23,26.39,25.37,26.33,26.33,0.2,0.22,0.2,0.28,0.26,0.3,0.2,0.26,0.24,0.25,0.21,0.28,0.56,0.46,0.49,0.49,2,13,15,10,13,12,12,10,14,28,23,24,24
"Ned Weatherly_OceaniaChampionships2019v2","Ned Weatherly","OceaniaChampionships2019v2",4,"65.94",968,625,1037,694,1104,757,1174,822,45,43.24,42.88,43.71,19.96,NA,19.38,NA,20.25,NA,19.86,NA,28.23,26.6,27.63,27.49,27.47,0.2,0.2,0.22,0.31,0.26,0.3,0.2,0.28,0.18,0.28,0.2,0.31,0.56,0.48,0.46,0.51,2.01,13,15,10,14,9,14,10,15,28,24,23,25
"Ned Weatherly_OceaniaChampionships2019v2","Ned Weatherly","OceaniaChampionships2019v2",5,"X",885,779,948,838,1012,895,1072,950,43.12,41.69,42.51,42.44,18.23,NA,18.51,NA,17.36,NA,18.03,NA,24.98,24.79,23.55,24.44,24.43,0.2,0.2,0.2,0.31,0.26,0.3,0.2,0.28,0.18,0.28,0.2,0.31,0.56,0.48,0.46,0.51,2.01,13,15,10,14,9,14,10,15,28,24,23,25
"Ned Weatherly_OceaniaChampionships2019v2","Ned Weatherly","OceaniaChampionships2019v2",6,"65.73",939,625,1007,692,1074,755,1140,819,44.58,43.24,44.12,43.98,19.67,NA,19.38,NA,19.09,NA,19.38,NA,27.62,26.6,26.59,26.94,26.93,0.22,0.2,0.18,0.28,0.25,0.3,0.2,0.27,0.21,0.26,0.2,0.28,0.55,0.47,0.47,0.48,1.97,13,15,10,14,11,13,10,14,28,24,24,24
