"dataname","Name","Competition","Round","Distance","InHandx","InHandy","OutHand1x","OutHand1y","OutHand2x","OutHand2y","OutHand3x","OutHand3y","Angle1","Angle2","Angle3","AngleAvg","HVel1","VVel1","HVel2","VVel2","HVel3","VVel3","HVelAvg","VVelAvg","RVel1","RVel2","RVel3","RVelAvg","RVelfromAvg","DUTurn1","DUTurn2","DUTurn3","DUTurn4","Turn1Single","Turn1Double","Turn2Single","Turn2Double","Turn3Single","Turn3Double","Turn4Single","Turn4Double","Turn1","Turn2","Turn3","Turn4","TotalTime","Turn1SinglePC","Turn1DoublePC","Turn2SinglePC","Turn2DoublePC","Turn3SinglePC","Turn3DoublePC","Turn4SinglePC","Turn4DoublePC","Turn1PC","Turn2PC","Turn3PC","Turn4PC"
"Costa Kousparis_OceaniaChampionships2019","Costa Kousparis","OceaniaChampionships2019",1,"59.39",849,558,922,619,990,679,1058,740,39.88,41.42,41.89,41.06,21.2,18.2,19.74,17.91,19.74,18.2,20.23,18.1,27.63,26.32,26.52,26.82,26.83,0.29,0.24,0.2,0.27,0.3,0.31,0.28,0.27,0.27,0.25,0.27,0.27,0.61,0.55,0.52,0.54,2.22,14,14,13,12,12,11,12,12,27,25,23,24
"Costa Kousparis_OceaniaChampionships2019","Costa Kousparis","OceaniaChampionships2019",2,"66.2",978,603,1053,664,1126,722,NA,NA,39.12,38.47,NA,38.8,21.78,18.2,21.2,17.31,NA,NA,21.49,17.75,28.07,27.08,NA,27.57,27.57,0.3,0.24,0.16,0.29,0.31,0.33,0.27,0.27,0.27,0.23,0.27,0.29,0.64,0.54,0.5,0.56,2.24,14,15,12,12,12,10,12,13,29,24,22,25
"Costa Kousparis_OceaniaChampionships2019","Costa Kousparis","OceaniaChampionships2019",3,"64.47",971,587,1048,647,1121,708,1192,765,37.93,39.88,38.76,38.86,22.36,17.91,21.2,18.2,20.62,17.01,21.39,17.71,28.35,27.63,26.44,27.47,27.47,0.3,0.26,0.22,0.31,0.3,0.32,0.26,0.29,0.25,0.23,0.27,0.31,0.62,0.55,0.48,0.58,2.23,13,14,12,13,11,10,12,14,28,25,22,26
"Costa Kousparis_OceaniaChampionships2019","Costa Kousparis","OceaniaChampionships2019",4,"65.34",976,598,1048,660,1120,720,1185,780,40.73,39.81,42.71,41.08,20.91,18.5,20.91,17.91,18.87,17.91,20.23,18.11,27.59,27.22,25.68,26.83,26.84,0.32,0.24,0.2,0.29,0.29,0.35,0.25,0.25,0.27,0.22,0.28,0.29,0.64,0.5,0.49,0.57,2.2,13,16,11,11,12,10,13,13,29,23,22,26
"Costa Kousparis_OceaniaChampionships2019","Costa Kousparis","OceaniaChampionships2019",5,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Costa Kousparis_OceaniaChampionships2019","Costa Kousparis","OceaniaChampionships2019",6,"63.27",963,630,1039,694,1105,753,1179,818,40.1,41.79,41.3,41.06,22.07,19.1,19.16,17.61,21.49,19.4,20.91,18.7,28.85,25.7,28.61,27.72,27.73,0.34,0.28,0.19,0.29,0.3,0.36,0.24,0.31,0.27,0.23,0.27,0.29,0.66,0.55,0.5,0.56,2.27,13,16,11,14,12,10,12,13,29,24,22,25
