dataname,Name,Competition,Round,Distance,InHandx,InHandy,OutHand1x,OutHand1y,OutHand2x,OutHand2y,OutHand3x,OutHand3y,Angle1,Angle2,Angle3,AngleAvg,HVel1,VVel1,HVel2,VVel2,HVel3,VVel3,HVelAvg,VVelAvg,RVel1,RVel2,RVel3,RVelAvg,RVelfromAvg,DUTurn1,DUTurn2,DUTurn3,DUTurn4,Turn1Single,Turn1Double,Turn2Single,Turn2Double,Turn3Single,Turn3Double,Turn4Single,Turn4Double,Turn1,Turn2,Turn3,Turn4,TotalTime,Turn1SinglePC,Turn1DoublePC,Turn2SinglePC,Turn2DoublePC,Turn3SinglePC,Turn3DoublePC,Turn4SinglePC,Turn4DoublePC,Turn1PC,Turn2PC,Turn3PC,Turn4PC
Alex Hulley_NSWStateChamps2019,AH,NSWStateChamps2019,1,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,0.22,0.2,0.28,0.28,0.4,0.24,0.28,0.24,0.24,0.24,0.28,0.68,0.52,0.48,0.52,2.2,13,18,11,13,11,11,11,13,31,24,22,24
Alex Hulley_NSWStateChamps2019,AH,NSWStateChamps2019,2,60.1,704,627,747,671,794,719,842,766,45.66,45.6,44.4,45.22,15.91,16.09,17.39,17.55,17.76,17.19,17.02,16.94,22.76,24.85,24.86,24.16,24.16,0.34,0.26,0.2,0.24,0.3,0.38,0.22,0.3,0.24,0.26,0.28,0.24,0.68,0.52,0.5,0.52,2.22,14,17,10,14,11,12,13,11,31,23,23,23
Alex Hulley_NSWStateChamps2019,AH,NSWStateChamps2019,3,X,654,595,702,647,738,690,781,739,47.29,50.06,48.73,48.69,17.76,19.02,13.32,15.73,15.91,17.92,15.66,17.56,26.18,20.75,24.12,23.68,23.72,0.28,0.2,0.18,0.26,0.32,0.36,0.24,0.26,0.22,0.26,0.24,0.26,0.68,0.5,0.48,0.5,2.16,15,17,11,12,10,12,11,12,31,23,22,23
Alex Hulley_NSWStateChamps2019,AH,NSWStateChamps2019,4,64.89,584,607,642,662,699,719,741,761,43.48,45,45,44.49,21.46,20.11,21.09,20.85,15.54,15.36,19.36,18.77,29.57,29.83,21.98,27.13,27.14,0.3,0.24,0.16,0.23,0.3,0.36,0.24,0.28,0.26,0.22,0.26,0.23,0.66,0.52,0.48,0.49,2.15,14,17,11,13,12,10,12,11,31,24,22,23
Alex Hulley_NSWStateChamps2019,AH,NSWStateChamps2019,5,66.21,551,550,606,606,656,659,716,723,45.52,46.67,46.85,46.35,20.35,20.48,18.5,19.38,22.2,23.41,20.35,21.09,29.04,26.96,32.46,29.49,29.48,0.34,0.2,0.16,0.24,0.32,0.42,0.24,0.24,0.26,0.22,0.26,0.24,0.74,0.48,0.48,0.5,2.2,15,19,11,11,12,10,12,11,34,22,22,23
Alex Hulley_NSWStateChamps2019,AH,NSWStateChamps2019,6,X,554,642,602,688,644,731,NA,NA,43.78,45.67,NA,44.73,17.76,16.82,15.54,15.73,NA,NA,16.65,16.27,24.6,22.24,NA,23.42,23.44,0.3,0.2,0.18,0.24,0.32,0.34,0.24,0.28,0.26,0.22,0.26,0.24,0.66,0.52,0.48,0.5,2.16,15,16,11,13,12,10,12,11,31,24,22,23
