"dataname","Name","Competition","Round","Distance","InHandx","InHandy","OutHand1x","OutHand1y","OutHand2x","OutHand2y","OutHand3x","OutHand3y","Angle1","Angle2","Angle3","AngleAvg","HVel1","VVel1","HVel2","VVel2","HVel3","VVel3","HVelAvg","VVelAvg","RVel1","RVel2","RVel3","RVelAvg","RVelfromAvg","DUTurn1","DUTurn2","DUTurn3","DUTurn4","Turn1Single","Turn1Double","Turn2Single","Turn2Double","Turn3Single","Turn3Double","Turn4Single","Turn4Double","Turn1","Turn2","Turn3","Turn4","TotalTime","Turn1SinglePC","Turn1DoublePC","Turn2SinglePC","Turn2DoublePC","Turn3SinglePC","Turn3DoublePC","Turn4SinglePC","Turn4DoublePC","Turn1PC","Turn2PC","Turn3PC","Turn4PC"
"Sarah Ringrose_CanberraTrackClassic2019v2","Sarah Ringrose","CanberraTrackClassic2019v2",1,"X",837,839,918,905,993,968,1074,1033,39.17,40.03,38.75,39.32,20.37,NA,18.86,NA,20.37,NA,19.87,NA,26.27,24.63,26.12,25.67,25.68,0.24,0.2,NA,NA,0.4,0.35,0.27,0.37,0.27,0.27,NA,NA,0.75,0.64,0.54,NA,1.93,21,18,14,19,14,14,NA,NA,39,33,28,NA
"Sarah Ringrose_CanberraTrackClassic2019v2","Sarah Ringrose","CanberraTrackClassic2019v2",2,"51.77",893,891,971,959,1048,1026,NA,NA,41.08,41.03,NA,41.05,19.61,NA,19.36,NA,NA,NA,19.48,NA,26.02,25.66,NA,25.84,25.83,0.28,0.22,NA,NA,0.34,0.35,0.31,0.34,0.28,0.3,NA,NA,0.69,0.65,0.58,NA,1.92,18,18,16,18,15,16,NA,NA,36,34,30,NA
"Sarah Ringrose_CanberraTrackClassic2019v2","Sarah Ringrose","CanberraTrackClassic2019v2",3,"X",924,720,996,766,1064,814,1138,857,32.57,35.22,30.16,32.65,18.11,NA,17.1,NA,18.61,NA,17.94,NA,21.49,20.93,21.52,21.31,21.31,0.28,0.24,NA,NA,0.36,0.43,0.31,0.37,0.27,0.34,NA,NA,0.79,0.68,0.61,NA,2.08,17,21,15,18,13,16,NA,NA,38,33,29,NA
"Sarah Ringrose_CanberraTrackClassic2019v2","Sarah Ringrose","CanberraTrackClassic2019v2",4,"53.24",961,800,1045,867,1127,933,1212,998,38.58,38.83,37.41,38.27,21.12,NA,20.62,NA,21.38,NA,21.04,NA,27.02,26.47,26.92,26.8,26.8,0.28,0.22,NA,NA,0.36,0.41,0.29,0.33,0.25,0.3,NA,NA,0.77,0.62,0.55,NA,1.94,19,21,15,17,13,15,NA,NA,40,32,28,NA
"Sarah Ringrose_CanberraTrackClassic2019v2","Sarah Ringrose","CanberraTrackClassic2019v2",5,"47.42",929,900,1018,959,1101,1019,NA,NA,33.54,35.86,NA,34.7,22.38,NA,20.87,NA,NA,NA,21.62,NA,26.85,25.75,NA,26.3,26.3,0.26,0.22,NA,NA,0.36,0.41,0.29,0.36,0.26,0.32,NA,NA,0.77,0.65,0.58,NA,2,18,20,14,18,13,16,NA,NA,38,32,29,NA
"Sarah Ringrose_CanberraTrackClassic2019v2","Sarah Ringrose","CanberraTrackClassic2019v2",6,"50.29",763,743,847,815,931,884,1016,953,40.6,39.4,39.07,39.69,21.12,NA,21.12,NA,21.38,NA,21.21,NA,27.82,27.33,27.54,27.56,27.56,0.28,0.22,NA,NA,0.37,0.35,0.29,0.33,0.31,0.29,NA,NA,0.72,0.62,0.6,NA,1.94,19,18,15,17,16,15,NA,NA,37,32,31,NA
