"dataname","Name","Competition","Round","Distance","InHandx","InHandy","OutHand1x","OutHand1y","OutHand2x","OutHand2y","OutHand3x","OutHand3y","Angle1","Angle2","Angle3","AngleAvg","HVel1","VVel1","HVel2","VVel2","HVel3","VVel3","HVelAvg","VVelAvg","RVel1","RVel2","RVel3","RVelAvg","RVelfromAvg","DUTurn1","DUTurn2","DUTurn3","DUTurn4","Turn1Single","Turn1Double","Turn2Single","Turn2Double","Turn3Single","Turn3Double","Turn4Single","Turn4Double","Turn1","Turn2","Turn3","Turn4","TotalTime","Turn1SinglePC","Turn1DoublePC","Turn2SinglePC","Turn2DoublePC","Turn3SinglePC","Turn3DoublePC","Turn4SinglePC","Turn4DoublePC","Turn1PC","Turn2PC","Turn3PC","Turn4PC"
"Sarah Ringrose_NSWStateChamps2019v2","Sarah Ringrose","NSWStateChamps2019v2",1,"X",620,568,670,609,713,645,756,682,39.35,39.94,40.71,40,18.25,NA,15.69,NA,15.69,NA,16.54,NA,23.6,20.46,20.7,21.59,21.59,0.22,0.2,NA,NA,0.32,0.44,0.26,0.3,0.28,0.36,NA,NA,0.76,0.56,0.64,NA,1.96,16,22,13,15,14,18,NA,NA,39,29,33,NA
"Sarah Ringrose_NSWStateChamps2019v2","Sarah Ringrose","NSWStateChamps2019v2",2,"51.76",606,569,656,609,710,652,759,689,38.66,38.53,37.06,38.08,18.25,NA,19.71,NA,17.88,NA,18.61,NA,23.37,25.2,22.41,23.66,23.64,0.26,0.18,NA,NA,0.34,0.44,0.3,0.28,0.28,0.36,NA,NA,0.78,0.58,0.64,NA,2,17,22,15,14,14,18,NA,NA,39,29,32,NA
"Sarah Ringrose_NSWStateChamps2019v2","Sarah Ringrose","NSWStateChamps2019v2",3,"X",635,607,683,641,730,674,784,712,35.31,35.07,35.13,35.17,17.52,NA,17.15,NA,19.71,NA,18.13,NA,21.47,20.95,24.1,22.17,22.18,0.24,0.22,NA,NA,0.38,0.36,0.28,0.28,0.3,0.36,NA,NA,0.74,0.56,0.66,NA,1.96,19,18,14,14,15,18,NA,NA,38,29,34,NA
"Sarah Ringrose_NSWStateChamps2019v2","Sarah Ringrose","NSWStateChamps2019v2",4,"X",579,544,623,577,669,612,719,652,36.87,37.27,38.66,37.6,16.06,NA,16.79,NA,18.25,NA,17.03,NA,20.08,21.1,23.37,21.52,21.49,0.24,0.18,NA,NA,0.36,0.4,0.3,0.34,0.26,0.28,NA,NA,0.76,0.64,0.54,NA,1.94,19,21,15,18,13,14,NA,NA,39,33,28,NA
"Sarah Ringrose_NSWStateChamps2019v2","Sarah Ringrose","NSWStateChamps2019v2",5,"49.1",562,590,616,632,668,673,719,713,37.87,38.25,38.11,38.08,19.71,NA,18.98,NA,18.61,NA,19.1,NA,24.97,24.17,23.65,24.26,24.26,0.22,0.24,NA,NA,0.36,0.44,0.26,0.34,0.28,0.29,NA,NA,0.8,0.6,0.57,NA,1.97,18,22,13,17,14,15,NA,NA,41,30,29,NA
"Sarah Ringrose_NSWStateChamps2019v2","Sarah Ringrose","NSWStateChamps2019v2",6,"X",636,650,685,685,733,719,781,753,35.54,35.31,35.31,35.39,17.88,NA,17.52,NA,17.52,NA,17.64,NA,21.97,21.47,21.47,21.64,21.64,0.24,0.24,NA,NA,0.36,0.38,0.26,0.34,0.28,0.36,NA,NA,0.74,0.6,0.64,NA,1.98,18,19,13,17,14,18,NA,NA,37,30,32,NA
