"dataname","Name","Competition","Round","Distance","InHandx","InHandy","OutHand1x","OutHand1y","OutHand2x","OutHand2y","OutHand3x","OutHand3y","Angle1","Angle2","Angle3","AngleAvg","HVel1","VVel1","HVel2","VVel2","HVel3","VVel3","HVelAvg","VVelAvg","RVel1","RVel2","RVel3","RVelAvg","RVelfromAvg","DUTurn1","DUTurn2","DUTurn3","DUTurn4","Turn1Single","Turn1Double","Turn2Single","Turn2Double","Turn3Single","Turn3Double","Turn4Single","Turn4Double","Turn1","Turn2","Turn3","Turn4","TotalTime","Turn1SinglePC","Turn1DoublePC","Turn2SinglePC","Turn2DoublePC","Turn3SinglePC","Turn3DoublePC","Turn4SinglePC","Turn4DoublePC","Turn1PC","Turn2PC","Turn3PC","Turn4PC"
"Sarah Ringrose_NSWStateChamps2019","Sarah Ringrose","NSWStateChamps2019",1,"X",620,568,670,609,713,645,756,682,39.35,39.94,40.71,40,18.5,14.99,15.91,13.17,15.91,13.53,16.77,13.9,23.92,20.75,20.99,21.89,21.89,0.22,0.2,NA,NA,0.32,0.44,0.26,0.3,0.28,0.36,NA,NA,0.76,0.56,0.64,NA,1.96,16,22,13,15,14,18,NA,NA,39,29,33,NA
"Sarah Ringrose_NSWStateChamps2019","Sarah Ringrose","NSWStateChamps2019",2,"51.76",606,569,656,609,710,652,759,689,38.66,38.53,37.06,38.08,18.5,14.63,19.98,15.73,18.13,13.53,18.87,14.63,23.69,25.54,22.72,23.98,23.97,0.26,0.18,NA,NA,0.34,0.44,0.3,0.28,0.28,0.36,NA,NA,0.78,0.58,0.64,NA,2,17,22,15,14,14,18,NA,NA,39,29,32,NA
"Sarah Ringrose_NSWStateChamps2019","Sarah Ringrose","NSWStateChamps2019",3,"X",635,607,683,641,730,674,784,712,35.31,35.07,35.13,35.17,17.76,12.43,17.39,12.07,19.98,13.9,18.38,12.8,21.76,21.25,24.43,22.48,22.48,0.24,0.22,NA,NA,0.38,0.36,0.28,0.28,0.3,0.36,NA,NA,0.74,0.56,0.66,NA,1.96,19,18,14,14,15,18,NA,NA,38,29,34,NA
"Sarah Ringrose_NSWStateChamps2019","Sarah Ringrose","NSWStateChamps2019",4,"X",579,544,623,577,669,612,719,652,36.87,37.27,38.66,37.6,16.28,12.07,17.02,12.8,18.5,14.63,17.27,13.17,20.35,21.39,23.69,21.81,21.8,0.24,0.18,NA,NA,0.36,0.4,0.3,0.34,0.26,0.28,NA,NA,0.76,0.64,0.54,NA,1.94,19,21,15,18,13,14,NA,NA,39,33,28,NA
"Sarah Ringrose_NSWStateChamps2019","Sarah Ringrose","NSWStateChamps2019",5,"49.1",562,590,616,632,668,673,719,713,37.87,38.25,38.11,38.08,19.98,15.36,19.24,14.99,18.87,14.63,19.36,14.99,25.31,24.5,23.98,24.6,24.6,0.22,0.24,NA,NA,0.36,0.44,0.26,0.34,0.28,0.29,NA,NA,0.8,0.6,0.57,NA,1.97,18,22,13,17,14,15,NA,NA,41,30,29,NA
"Sarah Ringrose_NSWStateChamps2019","Sarah Ringrose","NSWStateChamps2019",6,"X",636,650,685,685,733,719,781,753,35.54,35.31,35.31,35.39,18.13,12.8,17.76,12.43,17.76,12.43,17.88,12.55,22.28,21.76,21.76,21.93,21.93,0.24,0.24,NA,NA,0.36,0.38,0.26,0.34,0.28,0.36,NA,NA,0.74,0.6,0.64,NA,1.98,18,19,13,17,14,18,NA,NA,37,30,32,NA
