"dataname","Name","Competition","Round","Distance","InHandx","InHandy","OutHand1x","OutHand1y","OutHand2x","OutHand2y","OutHand3x","OutHand3y","Angle1","Angle2","Angle3","AngleAvg","HVel1","VVel1","HVel2","VVel2","HVel3","VVel3","HVelAvg","VVelAvg","RVel1","RVel2","RVel3","RVelAvg","RVelfromAvg","DUTurn1","DUTurn2","DUTurn3","DUTurn4","Turn1Single","Turn1Double","Turn2Single","Turn2Double","Turn3Single","Turn3Double","Turn4Single","Turn4Double","Turn1","Turn2","Turn3","Turn4","TotalTime","Turn1SinglePC","Turn1DoublePC","Turn2SinglePC","Turn2DoublePC","Turn3SinglePC","Turn3DoublePC","Turn4SinglePC","Turn4DoublePC","Turn1PC","Turn2PC","Turn3PC","Turn4PC"
"Ned Weatherly_NationalChampionships2019","Ned Weatherly","NationalChampionships2019",1,"60.21",899,528,952,573,1007,616,1061,662,40.33,38.02,40.43,39.59,17.93,15.46,18.6,14.77,18.26,15.8,18.26,15.34,23.52,23.61,23.99,23.71,23.7,0.24,0.22,0.2,0.27,0.28,0.34,0.2,0.26,0.22,0.26,0.22,0.27,0.62,0.46,0.48,0.49,2.05,14,17,10,13,11,13,11,13,30,22,23,24
"Ned Weatherly_NationalChampionships2019","Ned Weatherly","NationalChampionships2019",2,"X",982,616,1029,657,1077,701,1123,741,41.1,42.51,41.01,41.54,15.9,14.08,16.24,15.11,15.56,13.74,15.9,14.31,21.1,22.03,20.62,21.25,21.24,0.26,0.22,0.2,0.28,0.24,0.32,0.22,0.28,0.2,0.24,0.24,0.28,0.56,0.5,0.44,0.52,2.02,12,16,11,14,10,12,12,14,28,25,22,26
"Ned Weatherly_NationalChampionships2019","Ned Weatherly","NationalChampionships2019",3,"60.94",908,550,962,598,1018,644,1074,689,41.63,39.4,38.78,39.94,18.26,16.49,18.94,15.8,18.94,15.46,18.71,15.92,24.43,24.51,24.3,24.41,24.4,0.22,0.2,0.2,0.29,0.24,0.35,0.19,0.26,0.2,0.22,0.24,0.29,0.59,0.45,0.42,0.53,1.99,12,18,10,13,10,11,12,15,30,23,21,27
"Ned Weatherly_NationalChampionships2019","Ned Weatherly","NationalChampionships2019",4,"62.52",942,570,999,618,1056,664,1112,710,40.1,38.9,39.4,39.47,19.28,16.49,19.28,15.8,18.94,15.8,19.17,16.03,25.21,24.77,24.51,24.83,24.83,0.2,0.22,0.2,0.29,0.26,0.3,0.18,0.24,0.22,0.24,0.22,0.29,0.56,0.42,0.46,0.51,1.95,13,15,9,12,11,12,11,15,29,22,24,26
"Ned Weatherly_NationalChampionships2019","Ned Weatherly","NationalChampionships2019",5,"60.97",946,484,1006,528,1066,572,1125,616,36.25,36.25,36.71,36.4,20.29,15.11,20.29,15.11,19.96,15.11,20.18,15.11,25.16,25.16,24.9,25.07,25.07,0.24,0.21,0.18,0.3,0.26,0.33,0.19,0.26,0.2,0.22,0.24,0.3,0.59,0.45,0.42,0.54,2,13,16,10,13,10,11,12,15,30,22,21,27
"Ned Weatherly_NationalChampionships2019","Ned Weatherly","NationalChampionships2019",6,"59.91",944,584,998,629,1053,674,1107,717,39.81,39.29,38.53,39.21,18.26,15.46,18.6,15.46,18.26,14.77,18.37,15.23,23.77,24.03,23.34,23.71,23.71,0.23,0.2,0.22,0.29,0.25,0.31,0.2,0.25,0.19,0.26,0.22,0.29,0.56,0.45,0.45,0.51,1.97,13,16,10,13,10,13,11,15,28,23,23,26
