dataname,Name,Competition,Round,Distance,InHandx,InHandy,OutHand1x,OutHand1y,OutHand2x,OutHand2y,OutHand3x,OutHand3y,Angle1,Angle2,Angle3,AngleAvg,HVel1,VVel1,HVel2,VVel2,HVel3,VVel3,HVelAvg,VVelAvg,RVel1,RVel2,RVel3,RVelAvg,RVelfromAvg,DUTurn1,DUTurn2,DUTurn3,DUTurn4,Turn1Single,Turn1Double,Turn2Single,Turn2Double,Turn3Single,Turn3Double,Turn4Single,Turn4Double,Turn1,Turn2,Turn3,Turn4,TotalTime,Turn1SinglePC,Turn1DoublePC,Turn2SinglePC,Turn2DoublePC,Turn3SinglePC,Turn3DoublePC,Turn4SinglePC,Turn4DoublePC,Turn1PC,Turn2PC,Turn3PC,Turn4PC
Alex Hulley_NationalChampionships2019v2,AH,NationalChampionships2019v2,1,X,830,552,880,600,NA,NA,974,695,43.83,NA,NA,43.83,18.12,NA,NA,NA,NA,NA,18.12,NA,25.12,NA,NA,25.12,25.12,0.32,0.22,0.18,0.25,0.36,0.38,0.26,0.26,0.26,0.24,0.26,0.25,0.74,0.52,0.5,0.51,2.27,16,17,11,11,11,11,11,11,33,23,22,22
Alex Hulley_NationalChampionships2019v2,AH,NationalChampionships2019v2,2,64.97,779,601,833,652,884,701,NA,NA,43.36,43.85,NA,43.61,19.57,NA,18.49,NA,NA,NA,19.03,NA,26.92,25.64,NA,26.28,26.28,0.3,0.19,0.18,0.22,0.32,0.36,0.26,0.26,0.24,0.24,0.28,0.22,0.68,0.52,0.48,0.5,2.18,15,17,12,12,11,11,13,10,31,24,22,23
Alex Hulley_NationalChampionships2019v2,AH,NationalChampionships2019v2,3,X,822,617,879,664,NA,NA,987,756,39.51,NA,NA,39.51,20.66,NA,NA,NA,NA,NA,20.66,NA,26.78,NA,NA,26.78,26.78,0.3,0.24,0.18,0.26,0.36,0.36,0.22,0.26,0.24,0.22,0.26,0.26,0.72,0.48,0.46,0.52,2.18,17,17,10,12,11,10,12,12,33,22,21,24
Alex Hulley_NationalChampionships2019v2,AH,NationalChampionships2019v2,4,65.48,840,652,896,700,949,746,1003,795,40.6,40.96,42.22,41.26,20.3,NA,19.21,NA,19.57,NA,19.69,NA,26.74,25.44,26.43,26.2,26.19,0.3,0.24,0.2,0.27,0.34,0.32,0.28,0.28,0.2,0.24,0.26,0.27,0.66,0.56,0.44,0.53,2.19,16,15,13,13,9,11,12,12,30,26,20,24
Alex Hulley_NationalChampionships2019v2,AH,NationalChampionships2019v2,5,64.24,741,637,795,686,850,734,900,781,42.22,41.11,43.23,42.19,19.57,NA,19.94,NA,18.12,NA,19.21,NA,26.43,26.46,24.87,25.92,25.93,0.32,0.22,0.18,0.25,0.32,0.36,0.24,0.26,0.24,0.24,0.26,0.25,0.68,0.5,0.48,0.51,2.17,15,17,11,12,11,11,12,12,31,23,22,24
Alex Hulley_NationalChampionships2019v2,AH,NationalChampionships2019v2,6,65.49,781,578,836,629,887,679,NA,NA,42.84,44.43,NA,43.64,19.94,NA,18.49,NA,NA,NA,19.21,NA,27.19,25.89,NA,26.54,26.54,0.3,0.22,0.16,0.24,0.32,0.34,0.26,0.24,0.28,0.24,0.24,0.24,0.66,0.5,0.52,0.48,2.16,15,16,12,11,13,11,11,11,31,23,24,22
