"dataname","Name","Competition","Round","Distance","InHandx","InHandy","OutHand1x","OutHand1y","OutHand2x","OutHand2y","OutHand3x","OutHand3y","Angle1","Angle2","Angle3","AngleAvg","HVel1","VVel1","HVel2","VVel2","HVel3","VVel3","HVelAvg","VVelAvg","RVel1","RVel2","RVel3","RVelAvg","RVelfromAvg","DUTurn1","DUTurn2","DUTurn3","DUTurn4","Turn1Single","Turn1Double","Turn2Single","Turn2Double","Turn3Single","Turn3Double","Turn4Single","Turn4Double","Turn1","Turn2","Turn3","Turn4","TotalTime","Turn1SinglePC","Turn1DoublePC","Turn2SinglePC","Turn2DoublePC","Turn3SinglePC","Turn3DoublePC","Turn4SinglePC","Turn4DoublePC","Turn1PC","Turn2PC","Turn3PC","Turn4PC"
"Sarah Ringrose_NationalChampionships2019v2","Sarah Ringrose","NationalChampionships2019v2",1,"48.64",854,576,NA,NA,957,649,1008,686,NA,NA,35.96,35.96,NA,NA,NA,NA,18.49,NA,18.49,NA,NA,NA,22.84,22.84,22.84,0.27,0.19,NA,NA,0.44,0.41,0.31,0.32,0.3,0.34,NA,NA,0.85,0.63,0.64,NA,2.12,21,19,15,15,14,16,NA,NA,40,30,30,NA
"Sarah Ringrose_NationalChampionships2019v2","Sarah Ringrose","NationalChampionships2019v2",2,"52.4",878,547,NA,NA,987,623,1043,660,NA,NA,33.45,33.45,NA,NA,NA,NA,20.3,NA,20.3,NA,NA,NA,24.33,24.33,24.33,0.24,0.18,NA,NA,0.4,0.38,0.3,0.35,0.25,0.31,NA,NA,0.78,0.65,0.56,NA,1.99,20,19,15,18,13,16,NA,NA,39,33,28,NA
"Sarah Ringrose_NationalChampionships2019v2","Sarah Ringrose","NationalChampionships2019v2",3,"49.71",860,597,NA,NA,966,673,1019,711,NA,NA,35.64,35.64,NA,NA,NA,NA,19.21,NA,19.21,NA,NA,NA,23.64,23.64,23.64,0.24,0.2,NA,NA,0.4,0.38,0.3,0.34,0.28,0.31,NA,NA,0.78,0.64,0.59,NA,2.01,20,19,15,17,14,15,NA,NA,39,32,29,NA
"Sarah Ringrose_NationalChampionships2019v2","Sarah Ringrose","NationalChampionships2019v2",4,"48.4",819,531,868,567,NA,NA,973,643,36.3,NA,NA,36.3,17.76,NA,NA,NA,NA,NA,17.76,NA,22.04,NA,NA,22.04,22.04,0.24,0.24,NA,NA,0.38,0.38,0.28,0.42,0.26,0.32,NA,NA,0.76,0.7,0.58,NA,2.04,19,19,14,21,13,16,NA,NA,37,34,28,NA
"Sarah Ringrose_NationalChampionships2019v2","Sarah Ringrose","NationalChampionships2019v2",5,"51.76",853,537,NA,NA,960,615,1013,653,NA,NA,35.64,35.64,NA,NA,NA,NA,19.21,NA,19.21,NA,NA,NA,23.64,23.64,23.64,0.22,0.2,NA,NA,0.36,0.36,0.3,0.36,0.24,0.3,NA,NA,0.72,0.66,0.54,NA,1.92,19,19,16,19,12,16,NA,NA,38,34,28,NA
"Sarah Ringrose_NationalChampionships2019v2","Sarah Ringrose","NationalChampionships2019v2",6,"49.77",793,574,845,612,895,650,NA,NA,36.16,37.23,NA,36.69,18.85,NA,18.12,NA,NA,NA,18.48,NA,23.35,22.76,NA,23.05,23.05,0.26,0.18,NA,NA,0.36,0.4,0.28,0.39,0.25,0.29,NA,NA,0.76,0.67,0.54,NA,1.97,18,20,14,20,13,15,NA,NA,39,34,27,NA
