"dataname","Name","Competition","Round","Distance","InHandx","InHandy","OutHand1x","OutHand1y","OutHand2x","OutHand2y","OutHand3x","OutHand3y","Angle1","Angle2","Angle3","AngleAvg","HVel1","VVel1","HVel2","VVel2","HVel3","VVel3","HVelAvg","VVelAvg","RVel1","RVel2","RVel3","RVelAvg","RVelfromAvg","DUTurn1","DUTurn2","DUTurn3","DUTurn4","Turn1Single","Turn1Double","Turn2Single","Turn2Double","Turn3Single","Turn3Double","Turn4Single","Turn4Double","Turn1","Turn2","Turn3","Turn4","TotalTime","Turn1SinglePC","Turn1DoublePC","Turn2SinglePC","Turn2DoublePC","Turn3SinglePC","Turn3DoublePC","Turn4SinglePC","Turn4DoublePC","Turn1PC","Turn2PC","Turn3PC","Turn4PC"
"C Heston_CanberraTrackClassic2019v2","C Heston","CanberraTrackClassic2019v2",1,"55.99",1381,666,1467,737,1553,808,1638,881,39.54,39.54,40.66,39.91,21.63,NA,21.63,NA,21.38,NA,21.55,NA,28.05,28.05,28.18,28.09,28.09,0.28,0.24,0.16,0.29,0.26,0.38,0.2,0.28,0.22,0.22,0.28,0.29,0.64,0.48,0.44,0.57,2.13,12,18,9,13,10,10,13,14,30,23,21,27
"C Heston_CanberraTrackClassic2019v2","C Heston","CanberraTrackClassic2019v2",2,"X",1472,828,1542,897,1606,963,1670,1030,44.59,45.88,46.31,45.59,17.6,NA,16.09,NA,16.09,NA,16.59,NA,24.71,23.11,23.29,23.7,23.71,0.24,0.2,0.18,0.29,0.28,0.36,0.22,0.27,0.21,0.23,0.27,0.29,0.64,0.49,0.44,0.56,2.13,13,17,10,13,10,11,13,14,30,23,21,26
"C Heston_CanberraTrackClassic2019v2","C Heston","CanberraTrackClassic2019v2",3,"53.6",1435,658,1523,720,1614,783,1707,847,35.17,34.7,34.53,34.8,22.13,NA,22.88,NA,23.39,NA,22.8,NA,27.07,27.83,28.39,27.76,27.77,0.26,0.22,0.18,0.25,0.27,0.32,0.22,0.29,0.21,0.26,0.24,0.25,0.59,0.51,0.47,0.49,2.06,13,16,11,14,10,13,12,12,29,25,23,24
"C Heston_CanberraTrackClassic2019v2","C Heston","CanberraTrackClassic2019v2",4,"54.81",1399,627,1480,697,1561,763,1639,826,40.83,39.17,38.93,39.64,20.37,NA,20.37,NA,19.61,NA,20.12,NA,26.92,26.27,25.21,26.13,26.13,0.28,0.2,0.18,0.31,0.26,0.34,0.24,0.26,0.24,0.22,0.24,0.31,0.6,0.5,0.46,0.55,2.11,12,16,11,12,11,10,11,15,28,24,22,26
"C Heston_CanberraTrackClassic2019v2","C Heston","CanberraTrackClassic2019v2",5,"56.95",1433,675,1512,740,1591,805,1671,871,39.45,39.45,39.52,39.47,19.87,NA,19.87,NA,20.12,NA,19.95,NA,25.73,25.73,26.08,25.85,25.84,0.3,0.2,0.18,0.26,0.26,0.32,0.24,0.25,0.27,0.22,0.26,0.26,0.58,0.49,0.49,0.52,2.08,12,15,12,12,13,11,12,12,28,24,24,25
"C Heston_CanberraTrackClassic2019v2","C Heston","CanberraTrackClassic2019v2",6,"58.66",1412,647,1490,712,1568,781,1645,844,39.81,41.5,39.29,40.2,19.61,NA,19.61,NA,19.36,NA,19.53,NA,25.53,26.18,25.01,25.57,25.57,0.28,0.22,0.2,0.27,0.27,0.33,0.23,0.26,0.24,0.24,0.24,0.27,0.6,0.49,0.48,0.51,2.08,13,16,11,12,12,12,12,13,29,24,23,25
