dataname,Name,Competition,Round,Distance,InHandx,InHandy,OutHand1x,OutHand1y,OutHand2x,OutHand2y,OutHand3x,OutHand3y,Angle1,Angle2,Angle3,AngleAvg,HVel1,VVel1,HVel2,VVel2,HVel3,VVel3,HVelAvg,VVelAvg,RVel1,RVel2,RVel3,RVelAvg,RVelfromAvg,DUTurn1,DUTurn2,DUTurn3,DUTurn4,Turn1Single,Turn1Double,Turn2Single,Turn2Double,Turn3Single,Turn3Double,Turn4Single,Turn4Double,Turn1,Turn2,Turn3,Turn4,TotalTime,Turn1SinglePC,Turn1DoublePC,Turn2SinglePC,Turn2DoublePC,Turn3SinglePC,Turn3DoublePC,Turn4SinglePC,Turn4DoublePC,Turn1PC,Turn2PC,Turn3PC,Turn4PC
Alex Hulley_SydneyTrackClassic2020,AH,SydneyTrackClassic2020,1,X,1029,708,1087,766,1144,822,1199,876,45,44.49,44.47,44.65,18.46,NA,18.14,NA,17.51,NA,18.04,NA,26.11,25.43,24.54,25.36,25.36,0.3,0.22,0.17,0.28,0.3,0.38,0.22,0.25,0.25,0.23,0.24,0.28,0.68,0.47,0.48,0.52,2.15,14,18,10,12,12,11,11,13,32,22,22,24
Alex Hulley_SydneyTrackClassic2020,AH,SydneyTrackClassic2020,2,X,950,695,1009,754,1063,806,1116,863,45,43.92,47.08,45.33,18.78,NA,17.19,NA,16.87,NA,17.61,NA,26.56,23.86,24.77,25.06,25.05,0.31,0.22,0.17,0.26,0.28,0.41,0.2,0.29,0.21,0.22,0.27,0.26,0.69,0.49,0.43,0.53,2.14,13,19,9,14,10,10,13,12,32,23,20,25
Alex Hulley_SydneyTrackClassic2020,AH,SydneyTrackClassic2020,3,67.13,1008,769,1067,825,1124,884,1179,939,43.51,45.99,45,44.83,18.78,NA,18.14,NA,17.51,NA,18.14,NA,25.89,26.11,24.76,25.59,25.58,0.31,0.18,0.16,0.25,0.35,0.37,0.25,0.27,0.23,0.23,0.25,0.25,0.72,0.52,0.46,0.5,2.2,16,17,11,12,10,10,11,11,33,24,21,23
Alex Hulley_SydneyTrackClassic2020,AH,SydneyTrackClassic2020,4,68.48,1039,801,1097,856,1155,909,1215,965,43.48,42.42,43.03,42.98,18.46,NA,18.46,NA,19.1,NA,18.67,NA,25.44,25.01,26.13,25.53,25.52,0.31,0.25,0.18,0.27,0.33,0.38,0.22,0.29,0.22,0.23,0.24,0.27,0.71,0.51,0.45,0.51,2.18,15,17,10,13,10,11,11,12,33,23,21,23
Alex Hulley_SydneyTrackClassic2020,AH,SydneyTrackClassic2020,5,69.4,947,757,1008,819,1068,875,1129,936,45.47,43.03,45,44.5,19.42,NA,19.1,NA,19.42,NA,19.31,NA,27.69,26.13,27.46,27.09,27.07,0.3,0.23,0.18,0.26,0.3,0.35,0.22,0.3,0.22,0.25,0.23,0.26,0.65,0.52,0.47,0.49,2.13,14,16,10,14,10,12,11,12,31,24,22,23
Alex Hulley_SydneyTrackClassic2020,AH,SydneyTrackClassic2020,6,70.55,1054,802,1114,859,1171,913,1233,971,43.53,43.45,43.09,43.36,19.1,NA,18.14,NA,19.74,NA,18.99,NA,26.34,24.99,27.03,26.12,26.12,0.31,0.22,0.18,0.27,0.28,0.38,0.22,0.29,0.22,0.21,0.25,0.27,0.66,0.51,0.43,0.52,2.12,13,18,10,14,10,10,12,13,31,24,20,25
