dataname,Name,Competition,Round,Distance,InHandx,InHandy,OutHand1x,OutHand1y,OutHand2x,OutHand2y,OutHand3x,OutHand3y,Angle1,Angle2,Angle3,AngleAvg,HVel1,VVel1,HVel2,VVel2,HVel3,VVel3,HVelAvg,VVelAvg,RVel1,RVel2,RVel3,RVelAvg,RVelfromAvg,DUTurn1,DUTurn2,DUTurn3,DUTurn4,Turn1Single,Turn1Double,Turn2Single,Turn2Double,Turn3Single,Turn3Double,Turn4Single,Turn4Double,Turn1,Turn2,Turn3,Turn4,TotalTime,Turn1SinglePC,Turn1DoublePC,Turn2SinglePC,Turn2DoublePC,Turn3SinglePC,Turn3DoublePC,Turn4SinglePC,Turn4DoublePC,Turn1PC,Turn2PC,Turn3PC,Turn4PC
Alex Hulley_MelbourneTrackClassic2020v2,AH,MelbourneTrackClassic2020v2,1,65.58,904,605,954,656,1008,712,1059,763,45.57,46.04,45,45.54,17.29,NA,18.67,NA,17.63,NA,17.86,NA,24.7,26.9,24.93,25.51,25.5,0.3,0.23,0.2,0.25,0.29,0.36,0.23,0.28,0.25,0.23,0.26,0.25,0.65,0.51,0.48,0.51,2.15,13,17,11,13,12,11,12,12,30,24,22,24
Alex Hulley_MelbourneTrackClassic2020v2,AH,MelbourneTrackClassic2020v2,2,X,937,611,999,661,1058,713,1119,762,38.88,41.39,38.77,39.68,21.44,NA,20.4,NA,21.09,NA,20.98,NA,27.54,27.19,27.05,27.26,27.26,0.28,0.23,0.2,0.27,0.26,0.34,0.21,0.28,0.21,0.25,0.25,0.27,0.6,0.49,0.46,0.52,2.07,13,16,10,14,10,12,12,13,29,24,22,25
Alex Hulley_MelbourneTrackClassic2020v2,AH,MelbourneTrackClassic2020v2,3,X,934,645,984,696,1034,746,1082,797,45.57,45,46.74,45.77,17.29,NA,17.29,NA,16.6,NA,17.06,NA,24.7,24.45,24.22,24.46,24.46,0.28,0.22,0.17,0.28,0.28,0.37,0.23,0.25,0.28,0.2,0.25,0.28,0.65,0.48,0.48,0.53,2.14,13,17,11,12,13,9,12,13,30,22,22,25
Alex Hulley_MelbourneTrackClassic2020v2,AH,MelbourneTrackClassic2020v2,4,X,876,621,931,673,985,726,1037,780,43.39,44.46,46.08,44.64,19.02,NA,18.67,NA,17.98,NA,18.56,NA,26.17,26.16,25.92,26.08,26.08,0.28,0.22,0.19,0.24,0.31,0.34,0.22,0.29,0.22,0.24,0.27,0.24,0.65,0.51,0.46,0.51,2.13,15,16,10,14,10,11,13,11,31,24,22,24
Alex Hulley_MelbourneTrackClassic2020v2,AH,MelbourneTrackClassic2020v2,5,63.23,889,608,946,659,1002,712,1056,764,41.82,43.42,43.92,43.05,19.71,NA,19.36,NA,18.67,NA,19.25,NA,26.45,26.65,25.92,26.34,26.34,0.32,0.23,0.16,0.26,0.28,0.4,0.21,0.29,0.25,0.22,0.25,0.26,0.68,0.5,0.47,0.51,2.16,13,19,10,13,12,10,12,12,31,23,22,24
Alex Hulley_MelbourneTrackClassic2020v2,AH,MelbourneTrackClassic2020v2,6,64.24,896,616,951,668,1005,720,1057,772,43.39,43.92,45,44.1,19.02,NA,18.67,NA,17.98,NA,18.56,NA,26.17,25.92,25.43,25.84,25.85,0.28,0.22,0.14,0.24,0.3,0.37,0.23,0.29,0.25,0.21,0.27,0.24,0.67,0.52,0.46,0.51,2.16,14,17,11,13,12,10,12,11,31,24,21,24
