"dataname","Name","Competition","Round","Distance","InHandx","InHandy","OutHand1x","OutHand1y","OutHand2x","OutHand2y","OutHand3x","OutHand3y","Angle1","Angle2","Angle3","AngleAvg","HVel1","VVel1","HVel2","VVel2","HVel3","VVel3","HVelAvg","VVelAvg","RVel1","RVel2","RVel3","RVelAvg","RVelfromAvg","DUTurn1","DUTurn2","DUTurn3","DUTurn4","Turn1Single","Turn1Double","Turn2Single","Turn2Double","Turn3Single","Turn3Double","Turn4Single","Turn4Double","Turn1","Turn2","Turn3","Turn4","TotalTime","Turn1SinglePC","Turn1DoublePC","Turn2SinglePC","Turn2DoublePC","Turn3SinglePC","Turn3DoublePC","Turn4SinglePC","Turn4DoublePC","Turn1PC","Turn2PC","Turn3PC","Turn4PC"
"Ned Weatherly_OceaniaChampionships2019","Ned Weatherly","OceaniaChampionships2019",1,"67.85",799,539,877,605,953,670,1029,738,40.24,40.54,41.82,40.87,22.68,19.58,22.1,19.29,22.1,20.18,22.29,19.68,29.71,29.08,29.65,29.48,29.48,0.22,0.24,0.22,0.28,0.26,0.29,0.21,0.26,0.22,0.24,0.22,0.28,0.55,0.47,0.46,0.5,1.98,13,15,11,13,11,12,11,14,28,24,23,25
"Ned Weatherly_OceaniaChampionships2019","Ned Weatherly","OceaniaChampionships2019",2,"62.97",897,658,964,723,1032,791,1099,856,44.13,45,44.13,44.42,19.48,19.29,19.77,20.18,19.48,19.29,19.58,19.59,27.14,27.96,27.14,27.41,27.41,0.2,0.19,0.18,0.25,0.26,0.3,0.21,0.25,0.22,0.24,0.26,0.25,0.56,0.46,0.46,0.51,1.99,13,15,11,13,11,12,13,13,28,23,23,26
"Ned Weatherly_OceaniaChampionships2019","Ned Weatherly","OceaniaChampionships2019",3,"63.32",883,606,952,670,1018,733,1082,793,42.85,43.67,43.15,43.22,20.06,18.99,19.19,18.69,18.61,17.8,19.29,18.49,27.36,26.53,25.51,26.47,26.47,0.2,0.22,0.2,0.28,0.26,0.3,0.2,0.26,0.24,0.25,0.21,0.28,0.56,0.46,0.49,0.49,2,13,15,10,13,12,12,10,14,28,23,24,24
"Ned Weatherly_OceaniaChampionships2019","Ned Weatherly","OceaniaChampionships2019",4,"65.94",968,625,1037,694,1104,757,1174,822,45,43.24,42.88,43.71,20.06,20.47,19.48,18.69,20.35,19.29,19.96,19.48,28.37,26.74,27.77,27.63,27.61,0.2,0.2,0.22,0.31,0.26,0.3,0.2,0.28,0.18,0.28,0.2,0.31,0.56,0.48,0.46,0.51,2.01,13,15,10,14,9,14,10,15,28,24,23,25
"Ned Weatherly_OceaniaChampionships2019","Ned Weatherly","OceaniaChampionships2019",5,"X",885,779,948,838,1012,895,1072,950,43.12,41.69,42.51,42.44,18.32,17.5,18.61,16.91,17.45,16.32,18.13,16.91,25.1,24.92,23.67,24.56,24.57,0.2,0.2,0.2,0.31,0.26,0.3,0.2,0.28,0.18,0.28,0.2,0.31,0.56,0.48,0.46,0.51,2.01,13,15,10,14,9,14,10,15,28,24,23,25
"Ned Weatherly_OceaniaChampionships2019","Ned Weatherly","OceaniaChampionships2019",6,"65.73",939,625,1007,692,1074,755,1140,819,44.58,43.24,44.12,43.98,19.77,19.88,19.48,18.69,19.19,18.99,19.48,19.19,27.76,26.74,26.73,27.08,27.07,0.22,0.2,0.18,0.28,0.25,0.3,0.2,0.27,0.21,0.26,0.2,0.28,0.55,0.47,0.47,0.48,1.97,13,15,10,14,11,13,10,14,28,24,24,24
