dataname,Name,Competition,Round,Distance,InHandx,InHandy,OutHand1x,OutHand1y,OutHand2x,OutHand2y,OutHand3x,OutHand3y,Angle1,Angle2,Angle3,AngleAvg,HVel1,VVel1,HVel2,VVel2,HVel3,VVel3,HVelAvg,VVelAvg,RVel1,RVel2,RVel3,RVelAvg,RVelfromAvg,DUTurn1,DUTurn2,DUTurn3,DUTurn4,Turn1Single,Turn1Double,Turn2Single,Turn2Double,Turn3Single,Turn3Double,Turn4Single,Turn4Double,Turn1,Turn2,Turn3,Turn4,TotalTime,Turn1SinglePC,Turn1DoublePC,Turn2SinglePC,Turn2DoublePC,Turn3SinglePC,Turn3DoublePC,Turn4SinglePC,Turn4DoublePC,Turn1PC,Turn2PC,Turn3PC,Turn4PC
Alex Hulley_NSWStateChamps2019v2,AH,NSWStateChamps2019v2,1,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,0.22,0.2,0.28,0.28,0.4,0.24,0.28,0.24,0.24,0.24,0.28,0.68,0.52,0.48,0.52,2.2,13,18,11,13,11,11,11,13,31,24,22,24
Alex Hulley_NSWStateChamps2019v2,AH,NSWStateChamps2019v2,2,60.1,704,627,747,671,794,719,842,766,45.66,45.6,44.4,45.22,15.69,NA,17.15,NA,17.52,NA,16.79,NA,22.45,24.51,24.52,23.83,23.84,0.34,0.26,0.2,0.24,0.3,0.38,0.22,0.3,0.24,0.26,0.28,0.24,0.68,0.52,0.5,0.52,2.22,14,17,10,14,11,12,13,11,31,23,23,23
Alex Hulley_NSWStateChamps2019v2,AH,NSWStateChamps2019v2,3,X,654,595,702,647,738,690,781,739,47.29,50.06,48.73,48.69,17.52,NA,13.14,NA,15.69,NA,15.45,NA,25.83,20.47,23.79,23.36,23.4,0.28,0.2,0.18,0.26,0.32,0.36,0.24,0.26,0.22,0.26,0.24,0.26,0.68,0.5,0.48,0.5,2.16,15,17,11,12,10,12,11,12,31,23,22,23
Alex Hulley_NSWStateChamps2019v2,AH,NSWStateChamps2019v2,4,64.89,584,607,642,662,699,719,741,761,43.48,45,45,44.49,21.17,NA,20.8,NA,15.33,NA,19.1,NA,29.18,29.42,21.68,26.76,26.77,0.3,0.24,0.16,0.23,0.3,0.36,0.24,0.28,0.26,0.22,0.26,0.23,0.66,0.52,0.48,0.49,2.15,14,17,11,13,12,10,12,11,31,24,22,23
Alex Hulley_NSWStateChamps2019v2,AH,NSWStateChamps2019v2,5,66.21,551,550,606,606,656,659,716,723,45.52,46.67,46.85,46.35,20.07,NA,18.25,NA,21.9,NA,20.07,NA,28.64,26.6,32.02,29.09,29.08,0.34,0.2,0.16,0.24,0.32,0.42,0.24,0.24,0.26,0.22,0.26,0.24,0.74,0.48,0.48,0.5,2.2,15,19,11,11,12,10,12,11,34,22,22,23
Alex Hulley_NSWStateChamps2019v2,AH,NSWStateChamps2019v2,6,X,554,642,602,688,644,731,NA,NA,43.78,45.67,NA,44.73,17.52,NA,15.33,NA,NA,NA,16.43,NA,24.27,21.94,NA,23.11,23.13,0.3,0.2,0.18,0.24,0.32,0.34,0.24,0.28,0.26,0.22,0.26,0.24,0.66,0.52,0.48,0.5,2.16,15,16,11,13,12,10,12,11,31,24,22,23
