dataname,Name,Competition,Round,Distance,InHandx,InHandy,OutHand1x,OutHand1y,OutHand2x,OutHand2y,OutHand3x,OutHand3y,Angle1,Angle2,Angle3,AngleAvg,HVel1,VVel1,HVel2,VVel2,HVel3,VVel3,HVelAvg,VVelAvg,RVel1,RVel2,RVel3,RVelAvg,RVelfromAvg,DUTurn1,DUTurn2,DUTurn3,DUTurn4,Turn1Single,Turn1Double,Turn2Single,Turn2Double,Turn3Single,Turn3Double,Turn4Single,Turn4Double,Turn1,Turn2,Turn3,Turn4,TotalTime,Turn1SinglePC,Turn1DoublePC,Turn2SinglePC,Turn2DoublePC,Turn3SinglePC,Turn3DoublePC,Turn4SinglePC,Turn4DoublePC,Turn1PC,Turn2PC,Turn3PC,Turn4PC
Alex Hulley_SydneyTrackClassic2019v2,AH,SydneyTrackClassic2019v2,1,X,722,499,754,527,784,551,814,575,41.19,38.66,38.66,39.5,16.83,NA,15.78,NA,15.78,NA,16.13,NA,22.36,20.21,20.21,20.93,20.9,0.32,0.24,0.2,0.26,0.3,0.38,0.24,0.26,0.24,0.24,0.28,0.26,0.68,0.5,0.48,0.54,2.2,14,17,11,12,11,11,13,12,31,23,22,25
Alex Hulley_SydneyTrackClassic2019v2,AH,SydneyTrackClassic2019v2,2,64.69,705,450,740,485,775,519,810,552,45,44.17,43.32,44.16,18.41,NA,18.41,NA,18.41,NA,18.41,NA,26.04,25.67,25.3,25.67,25.66,0.34,0.2,0.19,0.24,0.3,0.38,0.26,0.24,0.24,0.22,0.28,0.24,0.68,0.5,0.46,0.52,2.16,14,18,12,11,11,10,13,11,31,23,21,24
Alex Hulley_SydneyTrackClassic2019v2,AH,SydneyTrackClassic2019v2,3,65.05,674,478,709,513,743,545,777,577,45,43.26,43.26,43.84,18.41,NA,17.88,NA,17.88,NA,18.06,NA,26.04,24.55,24.55,25.05,25.04,0.34,0.22,0.18,0.23,0.3,0.38,0.24,0.24,0.26,0.22,0.28,0.23,0.68,0.48,0.48,0.51,2.15,14,18,11,11,12,10,13,11,32,22,22,24
Alex Hulley_SydneyTrackClassic2019v2,AH,SydneyTrackClassic2019v2,4,68.15,719,453,756,486,792,522,826,554,41.73,45,43.26,43.33,19.46,NA,18.93,NA,17.88,NA,18.76,NA,26.08,26.77,24.55,25.8,25.79,0.3,0.22,0.17,0.26,0.3,0.36,0.24,0.24,0.25,0.21,0.28,0.26,0.66,0.48,0.46,0.54,2.14,14,17,11,11,12,10,13,12,31,22,21,25
Alex Hulley_SydneyTrackClassic2019v2,AH,SydneyTrackClassic2019v2,5,64.18,719,502,757,535,791,568,827,598,40.97,44.14,39.81,41.64,19.98,NA,17.88,NA,18.93,NA,18.93,NA,26.46,24.91,24.64,25.34,25.33,0.32,0.24,0.16,0.24,0.3,0.34,0.22,0.28,0.26,0.19,0.29,0.24,0.64,0.5,0.45,0.53,2.12,14,16,10,13,12,9,14,11,30,24,21,25
Alex Hulley_SydneyTrackClassic2019v2,AH,SydneyTrackClassic2019v2,6,65.73,685,483,720,519,758,551,793,588,45.81,40.1,46.59,44.17,18.41,NA,19.98,NA,18.41,NA,18.93,NA,26.41,26.12,26.79,26.44,26.39,0.3,0.24,0.16,0.27,0.3,0.32,0.24,0.27,0.27,0.2,0.26,0.27,0.62,0.51,0.47,0.53,2.13,14,15,11,13,13,9,12,13,29,24,22,25
