dataname,Name,Competition,Round,Distance,InHandx,InHandy,OutHand1x,OutHand1y,OutHand2x,OutHand2y,OutHand3x,OutHand3y,Angle1,Angle2,Angle3,AngleAvg,HVel1,VVel1,HVel2,VVel2,HVel3,VVel3,HVelAvg,VVelAvg,RVel1,RVel2,RVel3,RVelAvg,RVelfromAvg,DUTurn1,DUTurn2,DUTurn3,DUTurn4,Turn1Single,Turn1Double,Turn2Single,Turn2Double,Turn3Single,Turn3Double,Turn4Single,Turn4Double,Turn1,Turn2,Turn3,Turn4,TotalTime,Turn1SinglePC,Turn1DoublePC,Turn2SinglePC,Turn2DoublePC,Turn3SinglePC,Turn3DoublePC,Turn4SinglePC,Turn4DoublePC,Turn1PC,Turn2PC,Turn3PC,Turn4PC
Alex Hulley_OceaniaChampionships2019v2,AH,OceaniaChampionships2019v2,1,63.35,814,641,879,707,945,773,1010,836,45.44,45,44.1,44.85,18.86,NA,19.15,NA,18.86,NA,18.96,NA,26.88,27.08,26.26,26.74,26.74,0.3,0.23,0.16,0.25,0.31,0.37,0.24,0.28,0.25,0.23,0.27,0.25,0.68,0.52,0.48,0.52,2.2,14,17,11,13,11,10,12,11,31,24,22,24
Alex Hulley_OceaniaChampionships2019v2,AH,OceaniaChampionships2019v2,2,X,870,749,941,815,1013,882,1084,949,42.91,42.94,43.34,43.06,20.6,NA,20.89,NA,20.6,NA,20.7,NA,28.13,28.54,28.32,28.33,28.33,0.3,0.22,0.15,0.28,0.29,0.39,0.25,0.24,0.24,0.22,0.28,0.28,0.68,0.49,0.46,0.56,2.19,13,18,11,11,11,10,13,13,31,22,21,26
Alex Hulley_OceaniaChampionships2019v2,AH,OceaniaChampionships2019v2,3,65.81,807,675,875,743,943,813,1007,882,45,45.83,47.15,45.99,19.73,NA,19.73,NA,18.57,NA,19.34,NA,27.9,28.32,27.31,27.84,27.84,0.3,0.22,0.16,0.24,0.32,0.36,0.24,0.26,0.26,0.2,0.3,0.24,0.68,0.5,0.46,0.54,2.18,15,17,11,12,12,9,14,11,31,23,21,25
Alex Hulley_OceaniaChampionships2019v2,AH,OceaniaChampionships2019v2,4,64.93,747,661,819,732,893,805,964,875,44.6,44.61,44.59,44.6,20.89,NA,21.47,NA,20.6,NA,20.99,NA,29.34,30.16,28.93,29.48,29.48,0.32,0.24,0.18,0.26,0.3,0.36,0.24,0.27,0.25,0.24,0.26,0.26,0.66,0.51,0.49,0.52,2.18,14,17,11,12,11,11,12,12,30,23,22,24
Alex Hulley_OceaniaChampionships2019v2,AH,OceaniaChampionships2019v2,5,60.3,860,687,920,749,982,813,1043,878,45.94,45.91,46.82,46.22,17.4,NA,17.99,NA,17.69,NA,17.69,NA,25.02,25.86,25.85,25.58,25.57,0.32,0.22,0.18,0.28,0.31,0.42,0.22,0.26,0.26,0.24,0.26,0.28,0.73,0.48,0.5,0.54,2.25,14,19,10,12,12,11,12,12,32,21,22,24
Alex Hulley_OceaniaChampionships2019v2,AH,OceaniaChampionships2019v2,6,64.11,905,813,973,874,1039,936,1103,996,41.89,43.21,43.15,42.75,19.73,NA,19.15,NA,18.57,NA,19.15,NA,26.5,26.27,25.45,26.07,26.08,0.28,0.22,0.14,0.28,0.32,0.37,0.23,0.28,0.26,0.21,0.25,0.28,0.69,0.51,0.47,0.53,2.2,15,17,10,13,12,10,11,13,31,23,21,24
